Timestamp,Distance (cm),IR Status,Temperature
2025-06-17 12:49:28,288.52,No Object,25.48
2025-06-17 12:49:29,288.61,No Object,25.48
2025-06-17 12:49:29,288.92,No Object,25.48
2025-06-17 12:49:30,288.92,No Object,25.48
2025-06-17 12:49:31,383.28,No Object,25.48
2025-06-17 12:49:31,288.92,No Object,25.48
2025-06-17 12:49:32,385.42,No Object,25.48
2025-06-17 12:49:32,384.25,No Object,25.48
2025-06-17 12:49:33,383.38,No Object,25.48
2025-06-17 12:49:33,383.27,No Object,25.48
2025-06-17 12:49:34,383.47,No Object,25.48
2025-06-17 12:49:34,383.44,No Object,25.48
2025-06-17 12:49:35,789.41,No Object,25.48
2025-06-17 12:49:35,384.22,No Object,25.48
2025-06-17 12:49:36,385.07,No Object,25.48
2025-06-17 12:49:36,288.97,No Object,25.48
2025-06-17 12:49:37,384.61,No Object,25.48
2025-06-17 12:49:37,288.51,No Object,25.48
2025-06-17 12:49:38,288.64,No Object,25.48
2025-06-17 12:49:38,384.95,No Object,25.48
2025-06-17 12:49:39,385.05,No Object,25.48
2025-06-17 12:49:40,383.44,No Object,25.48
2025-06-17 12:49:40,289.36,No Object,25.48
2025-06-17 12:49:41,288.17,No Object,25.4
2025-06-17 12:49:41,288.52,No Object,25.4
2025-06-17 12:49:42,290.22,No Object,25.4
2025-06-17 12:49:42,384.13,No Object,25.4
2025-06-17 12:49:43,382.45,No Object,25.4
2025-06-17 12:49:43,288.51,No Object,25.4
2025-06-17 12:49:44,382.82,No Object,25.4
2025-06-17 12:49:44,383.27,No Object,25.4
2025-06-17 12:49:45,383.3,No Object,25.4
2025-06-17 12:49:45,384.52,No Object,25.4
2025-06-17 12:49:46,383.79,No Object,25.4
2025-06-17 12:49:46,383.83,No Object,25.4
2025-06-17 12:49:47,384.34,No Object,25.4
2025-06-17 12:49:47,789.31,No Object,25.4
2025-06-17 12:49:48,385.12,No Object,25.4
2025-06-17 12:49:48,383.89,No Object,25.4
2025-06-17 12:49:49,384.3,No Object,25.4
2025-06-17 12:49:50,385.02,No Object,25.4
2025-06-17 12:49:50,789.46,No Object,25.4
2025-06-17 12:49:51,289.07,No Object,25.4
2025-06-17 12:49:51,289.07,No Object,25.4
2025-06-17 12:49:52,385.17,No Object,25.4
2025-06-17 12:49:52,289.07,No Object,25.4
2025-06-17 12:49:53,288.35,No Object,25.4
2025-06-17 12:49:53,288.66,No Object,25.4
2025-06-17 12:49:54,289.51,No Object,25.4
2025-06-17 12:49:54,288.63,No Object,25.4
2025-06-17 12:49:55,288.75,No Object,25.4
2025-06-17 12:49:55,289.49,No Object,25.31
2025-06-17 12:49:56,384.34,No Object,25.4
2025-06-17 12:49:56,384.73,No Object,25.4
2025-06-17 12:49:57,383.81,No Object,25.4
2025-06-17 12:49:57,383.49,No Object,25.4
2025-06-17 12:49:58,383.81,No Object,25.4
2025-06-17 12:49:59,789.28,No Object,25.4
2025-06-17 12:49:59,382.99,No Object,25.4
2025-06-17 12:50:00,383.74,No Object,25.4
2025-06-17 12:50:00,382.5,No Object,25.4
2025-06-17 12:50:01,381.67,No Object,25.4
2025-06-17 12:50:01,288.07,No Object,25.4
2025-06-17 12:50:02,289.34,No Object,25.4
2025-06-17 12:50:02,289.03,No Object,25.4
2025-06-17 12:50:03,383.78,No Object,25.4
2025-06-17 12:50:03,383.71,No Object,25.4
2025-06-17 12:50:04,384.97,No Object,25.4
2025-06-17 12:50:04,789.26,No Object,25.4
2025-06-17 12:50:05,289.48,No Object,25.4
2025-06-17 12:50:05,288.54,No Object,25.4
2025-06-17 12:50:06,384.17,No Object,25.4
2025-06-17 12:50:06,385.78,No Object,25.4
2025-06-17 12:50:07,289.09,No Object,25.4
2025-06-17 12:50:07,288.98,No Object,25.4
2025-06-17 12:50:08,384.61,No Object,25.4
2025-06-17 12:50:09,385.87,No Object,25.4
2025-06-17 12:50:09,789.43,No Object,25.4
2025-06-17 12:50:10,382.99,No Object,25.4
2025-06-17 12:50:10,383.37,No Object,25.4
2025-06-17 12:50:11,383.28,No Object,25.4
2025-06-17 12:50:11,383.38,No Object,25.4
2025-06-17 12:50:12,382.96,No Object,25.4
2025-06-17 12:50:12,382.96,No Object,25.4
2025-06-17 12:50:13,382.96,No Object,25.4
